Example,Spacing,GPU_MEMORY_mean,GPU_MEMORY_std,MEMORY_mean,MEMORY_std,TIME_mean,TIME_std
linear_unmixing,0.2,1450.0,0.0,507.3,5.09,11107.3,127.14
linear_unmixing,0.3,458.0,0.0,684.55,0.78,4853.55,419.1
linear_unmixing,0.4000000000000001,206.0,0.0,558.2,17.11,3326.95,23.83
minimal_optical_simulation,0.2,1600.0,,-8.6,,10426.8,
minimal_optical_simulation,0.3,514.0,,1.2,,4273.6,
minimal_optical_simulation,0.4000000000000001,226.0,,-10.3,,2676.4,
minimal_optical_simulation_uniform_cube,0.2,1190.0,,50.4,,6281.9,
minimal_optical_simulation_uniform_cube,0.3,368.0,,-0.2,,3258.7,
minimal_optical_simulation_uniform_cube,0.4000000000000001,176.0,,0.2,,1714.0,
msot_invision_simulation,0.2,4250.0,,31.1,,28513.7,
msot_invision_simulation,0.3,1330.0,,70.1,,19706.4,
msot_invision_simulation,0.4000000000000001,556.0,,65.8,,17596.6,
optical_and_acoustic_simulation,0.2,510.0,,11.2,,33123.5,
optical_and_acoustic_simulation,0.3,180.0,,,,8789.8,
optical_and_acoustic_simulation,0.4000000000000001,80.0,,,,8930.5,
perform_iterative_qPAI_reconstruction,0.2,376.0,,73.1,,7583.6,
perform_iterative_qPAI_reconstruction,0.3,136.0,,-0.4,,9815.4,
perform_iterative_qPAI_reconstruction,0.4000000000000001,66.0,,73.1,,8253.1,
